disease_id,symptom_id,probability
DI36D2CBD685,SY001,0.4
DI36D2CBD685,SY002,0.85
DI36D2CBD685,SY003,0.95
DI36D2CBD685,SY004,0.35
DIFACBDB6569,SY_EXT_多饮,0.81
DIFACBDB6569,SY_EXT_多尿,0.7
DIFACBDB6569,SY_EXT_多食,0.86
DIFACBDB6569,SY_EXT_体重下降,0.51
DIFACBDB6569,SY_EXT_低血糖,0.68
DICE5633805A,SY005,0.36
DICE5633805A,SY006,0.39
DICE5633805A,SY007,0.55
DICE5633805A,SY008,0.52
DICAEB496EEA,SY004,0.43
DICAEB496EEA,SY005,0.89
DICAEB496EEA,SY001,0.51
DICAEB496EEA,SY_EXT_晕厥,0.35
DI488D4DAA36,SY_EXT_慢性咳嗽,0.73
DI488D4DAA36,SY_EXT_咳痰,0.75
DI488D4DAA36,SY_EXT_活动后气短,0.85
DI488D4DAA36,SY_EXT_喘息,0.53
DI9F9E346E1B,SY_EXT_周期性上腹痛,0.85
DI9F9E346E1B,SY_EXT_反酸,0.62
DI9F9E346E1B,SY_EXT_黑便,0.64
DI9F9E346E1B,SY_EXT_呕血,0.92
DI6E06E70CA8,SY_EXT_黄色瘤,0.74
DI6E06E70CA8,SY_EXT_动脉粥样硬化,0.42
DI6E06E70CA8,SY_EXT_多无明显症状,0.49
DID730796344,SY_EXT_搏动性头痛,0.72
DID730796344,SY_EXT_畏光畏声,0.78
DID730796344,SY_EXT_恶心呕吐,0.42
DI68448A045C,SY_EXT_发热,0.68
DI68448A045C,SY_EXT_咽痛,0.74
DI68448A045C,SY_EXT_咳嗽,0.91
DI68448A045C,SY_EXT_鼻塞流涕,0.4
DI68448A045C,SY_EXT_肌痛,0.87
DI388B8F81C6,SY_EXT_关节疼痛,0.62
DI388B8F81C6,SY_EXT_活动后加重,0.44
DI388B8F81C6,SY_EXT_关节僵硬,0.83
DI388B8F81C6,SY_EXT_肿胀,0.63
