drug_id,disease_id,efficacy
DR228F7EA7A1,DI36D2CBD685,0.75
DR0E21358180,DI36D2CBD685,0.91
DRF91C67F9A4,DIFACBDB6569,0.73
DR4A0733C842,DIFACBDB6569,0.8
DR2DCB8C0DC1,DICE5633805A,0.55
DR2DCB8C0DC1,DI68448A045C,0.65
DRE15420259C,DICE5633805A,0.88
DRE15420259C,DI68448A045C,0.65
DRC29E8D8481,DI488D4DAA36,0.6
DRC19B3EDFDC,DI9F9E346E1B,0.8
DRDA1C309381,DICE5633805A,0.53
DRDA1C309381,DI6E06E70CA8,0.74
DR930A16CB1A,DI36D2CBD685,0.84
DR930A16CB1A,DICE5633805A,0.47
DRB92F441041,DI36D2CBD685,0.74
DRB92F441041,DICE5633805A,0.87
DRB92F441041,DICAEB496EEA,0.63
DR643E0306C4,DICE5633805A,0.65
DR643E0306C4,DI68448A045C,0.69
DR14489B9DD4,DID730796344,0.78
DR14489B9DD4,DI388B8F81C6,0.77
DR7725999CC6,DI36D2CBD685,0.7
DR4F13530DEF,DIFACBDB6569,0.77
DR0CDAE45FDC,DI36D2CBD685,0.49
DR0CDAE45FDC,DICE5633805A,0.75
DR0CDAE45FDC,DICAEB496EEA,0.65
DR41F351A3EE,DI36D2CBD685,0.62
DR9C0943BF8C,DI9F9E346E1B,0.77
DREBFC9C8011,DIFACBDB6569,0.48
DRA2542A5255,DI36D2CBD685,0.58
DRA0D06F3F5F,DIFACBDB6569,0.85
DRC0491A2372,DICE5633805A,0.86
DRC0491A2372,DI6E06E70CA8,0.79
DR057B63154F,DIFACBDB6569,0.86
DRE8C45574F7,DI9F9E346E1B,0.72
DR8FF67C591F,DIFACBDB6569,0.5
DRF6B5285A2A,DIFACBDB6569,0.61
DR74FE1E2628,DI36D2CBD685,0.71
DR74FE1E2628,DICE5633805A,0.85
DR74FE1E2628,DICAEB496EEA,0.52
DR95D254BFF7,DI36D2CBD685,0.74
DR95D254BFF7,DICE5633805A,0.74
DRC9881A21E2,DICE5633805A,0.8
DRC9881A21E2,DI68448A045C,0.75
DR8350FA4208,DICE5633805A,0.75
DR8350FA4208,DI6E06E70CA8,0.65
DR80580FA67F,DI36D2CBD685,0.85
DR80580FA67F,DICE5633805A,0.53
DRC92E8503FC,DI36D2CBD685,0.73
DRCA067513A6,DICE5633805A,0.53
DRCA067513A6,DI6E06E70CA8,0.86
DR5C8DE292AC,DI36D2CBD685,0.69
DR837B2175C4,DID730796344,0.9
DR837B2175C4,DI388B8F81C6,0.9
DR67B80B4E18,DI36D2CBD685,0.58
DR9F8510A169,DICE5633805A,0.67
