drug_id,ingredient_id,dose
DR228F7EA7A1,ING01,25mg/片
DR0E21358180,ING02,10mg/片
DRF91C67F9A4,ING03,0.5g/片
DR4A0733C842,ING04,2mg/片
DR2DCB8C0DC1,ING05,100mg/片
DRE15420259C,ING06,2.5mg/片
DR1810EE20AE,ING07,0.5g/片
DRC29E8D8481,ING08,0.1g/片
DRC19B3EDFDC,ING09,20mg/胶囊
DRDA1C309381,ING10,20mg/片
DR930A16CB1A,ING11,30mg/缓释片
DRB92F441041,ING12,50mg/片
DR7C628C24A1,ING13,25mg/片
DR643E0306C4,ING14,0.5g/片
DR14489B9DD4,ING15,0.2g/胶囊
DR7725999CC6,ING01,396mg/片
DR9C30AF2812,ING07,27mg/片
DR4F13530DEF,ING03,123mg/片
DR0CDAE45FDC,ING12,384mg/片
DR41F351A3EE,ING01,123mg/片
DR9C0943BF8C,ING09,216mg/片
DREBFC9C8011,ING04,65mg/片
DRA2542A5255,ING01,106mg/片
DRA0D06F3F5F,ING04,191mg/片
DRC0491A2372,ING10,375mg/片
DR057B63154F,ING04,344mg/片
DRE8C45574F7,ING09,434mg/片
DR8FF67C591F,ING03,109mg/片
DRF6B5285A2A,ING03,49mg/片
DR74FE1E2628,ING12,338mg/片
DR9501107601,ING13,412mg/片
DRACB3003B3C,ING07,174mg/片
DR95D254BFF7,ING11,26mg/片
DRC9881A21E2,ING05,176mg/片
DR8350FA4208,ING10,336mg/片
DR80580FA67F,ING11,388mg/片
DRC92E8503FC,ING02,291mg/片
DRCA067513A6,ING10,156mg/片
DR5C8DE292AC,ING02,19mg/片
DR837B2175C4,ING15,361mg/片
DR67B80B4E18,ING02,470mg/片
DR9F8510A169,ING05,237mg/片
DR13A99E6D0C,ING07,370mg/片
DREBB9210CA9,ING02,452mg/片
DRE11A061F62,ING11,107mg/片
DRA208474008,ING06,442mg/片
DRE5194DBE07,ING03,260mg/片
DRED9C86F96D,ING10,445mg/片
DR7AC5A5DF64,ING06,330mg/片
DR9CDF61EBCF,ING10,253mg/片
DR17DA3F2B9D,ING03,259mg/片
DR91A8321A30,ING14,255mg/片
DR51E66EAFE6,ING13,126mg/片
DRF3AD08DFD4,ING01,303mg/片
DR104DB2F232,ING05,28mg/片
DR62C6734A3D,ING14,477mg/片
DREC52D54254,ING14,99mg/片
DRB524F8A2D0,ING12,368mg/片
DR914CD5BA5C,ING14,121mg/片
DR3D1B59A8AA,ING09,319mg/片
DRCAFFB0A409,ING08,424mg/片
DR213A65AFD7,ING08,195mg/片
DRF1A9A602DD,ING02,386mg/片
DRE57F7F7A9E,ING04,199mg/片
DR100CA73A3D,ING10,441mg/片
DR04EFB2D3B8,ING11,222mg/片
DR85C33403C8,ING04,199mg/片
DRE269454936,ING15,222mg/片
DR7E7AA8F58D,ING15,305mg/片
DR0FDF37894E,ING14,246mg/片
DR5EA7C0C131,ING10,279mg/片
DR5340F69987,ING04,191mg/片
DR47F36AB439,ING04,423mg/片
DR33EFC5DBE8,ING08,106mg/片
DRA58F644B0A,ING04,181mg/片
DR8934084F3A,ING05,399mg/片
DR8AA1FD21CA,ING04,458mg/片
DR63CFB9662C,ING10,236mg/片
DR97CE0E3668,ING15,97mg/片
DR071A52244E,ING07,252mg/片
DR0186F1765F,ING03,430mg/片
DR03B4AEE1A4,ING01,199mg/片
DR8B280549EA,ING05,460mg/片
DRB90F060366,ING15,162mg/片
DRA38D9A4890,ING07,314mg/片
DR97F8C7CCCF,ING03,440mg/片
DR113C8F3D10,ING02,101mg/片
DR4F5C05C045,ING01,257mg/片
DR2B99E5C3E9,ING05,486mg/片
DR9079632EDA,ING14,410mg/片
DRF333F026CA,ING07,114mg/片
DR09642D4DC8,ING09,29mg/片
DRE820ED204F,ING14,496mg/片
DR111B630A73,ING12,439mg/片
DR096E6A8838,ING07,60mg/片
DR3BB29BF2EE,ING13,172mg/片
DR77D53A757E,ING04,77mg/片
DR039DE4F770,ING13,165mg/片
DR81FA3DBB43,ING13,120mg/片
DRC5689BBD3D,ING03,257mg/片
DR2CAE58409C,ING13,144mg/片
DR219D0A622B,ING08,356mg/片
DR9D99E331E9,ING01,91mg/片
DR3CAFFF6C78,ING02,34mg/片
DR4F1243E735,ING15,470mg/片
DRF99292487C,ING14,204mg/片
DR6C34882F5F,ING04,488mg/片
DR2C9B05AE58,ING15,389mg/片
DR1C57C69DC6,ING13,224mg/片
DR571B633955,ING04,406mg/片
DR043F01135B,ING02,75mg/片
DR8C83E7DDA8,ING14,451mg/片
DR4F0DA1807E,ING12,335mg/片
DR01C64232F7,ING07,145mg/片
DRF1960DA84D,ING06,401mg/片
DR10214A50C8,ING06,230mg/片
DR201EB87CC9,ING14,40mg/片
DR5B01A7B0E0,ING03,421mg/片
DRFE55EE37EF,ING15,391mg/片
DRCD62521F0E,ING14,407mg/片
DRF5F60FA204,ING05,404mg/片
DR9897C529CD,ING08,45mg/片
DRBCF7199295,ING09,414mg/片
DR3562BF05DF,ING15,249mg/片
DRFF561AE967,ING01,169mg/片
DR4843A037EF,ING01,358mg/片
DRB06E4AF168,ING12,457mg/片
DR8E277B7515,ING04,308mg/片
DR367B3DEA65,ING10,76mg/片
DR8087AA4CDB,ING09,309mg/片
DR8CA1F8CBEB,ING08,443mg/片
DR0C4908A943,ING10,43mg/片
DR1F14E11CB0,ING11,81mg/片
DRCD69A29EFD,ING12,496mg/片
DRBA34078782,ING09,237mg/片
DRD44DE89224,ING03,267mg/片
DR82871F8E9B,ING03,415mg/片
DR7251EB0D71,ING14,11mg/片
DR51DD928446,ING08,395mg/片
DRBB246B046A,ING04,444mg/片
DR2C022B34F7,ING05,367mg/片
DRC3C44C3BEB,ING02,259mg/片
DRE60C8C71A8,ING06,390mg/片
DR74202BCA78,ING14,55mg/片
DRE6E1A16A61,ING10,42mg/片
DR99E22D53BD,ING06,157mg/片
DRBE7D40EFFF,ING09,209mg/片
DR944DFFAD13,ING14,54mg/片
DRF12AADF240,ING07,155mg/片
DR86A7FF3CDD,ING03,43mg/片
DRA091C6BFBC,ING05,130mg/片
DRF6C1DDBE6E,ING04,477mg/片
DR860502AC02,ING13,216mg/片
DR489FD19368,ING07,369mg/片
DR4F685093AF,ING01,477mg/片
DR0BA19B2B9B,ING11,342mg/片
DRC11BA42BD3,ING04,181mg/片
DRF4950080F4,ING08,244mg/片
DRC52767095C,ING12,147mg/片
DR05A8726E12,ING11,495mg/片
DRC6DD82090C,ING05,371mg/片
DR8821E8D079,ING11,226mg/片
DRE61B88FD33,ING07,377mg/片
DRC178B3F6EA,ING01,278mg/片
DR2A770583EF,ING06,491mg/片
DRB787EB92A4,ING14,45mg/片
DR63EFFF3071,ING09,305mg/片
DRC41887C689,ING11,286mg/片
DR5D8ED56C1F,ING09,5mg/片
DR9455F85050,ING04,30mg/片
DR50932DA321,ING07,147mg/片
DRE7B2B56E06,ING02,86mg/片
DRB9009BB8C6,ING08,205mg/片
DR077D0EB1FC,ING03,70mg/片
DR33C933AF78,ING10,145mg/片
DR57F72CAE7B,ING06,485mg/片
DR07C105FE09,ING05,465mg/片
DRFAE3BD8DCC,ING07,243mg/片
DR4E21594E7D,ING11,233mg/片
DR3F22A90DD2,ING02,332mg/片
DR768A97459D,ING11,482mg/片
DR05E95562DC,ING13,178mg/片
DR6380314436,ING06,152mg/片
