drug_id,name,approval_no,dosage_form,spec,usage,adverse_reaction,contraindication_text,pharmacology_text
DR228F7EA7A1,卡托普利,国药准字H10000001,片,25mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR0E21358180,依那普利,国药准字H10000002,片,10mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRF91C67F9A4,二甲双胍,国药准字H10000003,片,0.5g/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR4A0733C842,格列美脲,国药准字H10000004,片,2mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR2DCB8C0DC1,阿司匹林,国药准字H10000005,片,100mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DRE15420259C,华法林,国药准字H10000006,片,2.5mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR1810EE20AE,左氧氟沙星,国药准字H10000007,片,0.5g/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DRC29E8D8481,茶碱,国药准字H10000008,片,0.1g/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRC19B3EDFDC,奥美拉唑,国药准字H10000009,胶囊,20mg/胶囊,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DRDA1C309381,辛伐他汀,国药准字H10000010,片,20mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
